"Age","Workclass","Fnlwgt","Education.","Education.num","Marital.status","Occupation","Relationship","Race","Sex","Capital.gain","Capital.loss","Hours.per.week","Native.country","Class"
33,3,37274,1,13,2,5,2,1,1,0,0,65,1,1
44,25,181344,11,10,2,2,2,4,1,0,0,38,1,8
43,3,114580,11,10,3,1,1,1,5,0,0,40,1,1
30,3,633742,11,10,1,26,1,4,1,0,0,45,1,1
40,3,286370,15,4,2,17,2,1,1,0,0,40,15,8
37,22,29054,11,10,2,1,2,1,1,0,0,42,1,8
34,3,304030,3,9,2,1,2,4,1,0,0,40,1,1
41,2,143129,1,13,3,2,1,1,5,0,0,40,1,1
31,3,99928,6,14,2,5,5,1,5,0,0,50,1,1
58,1,109567,20,16,2,5,2,1,1,0,0,1,1,8
38,3,155222,11,10,3,17,1,4,5,0,0,28,1,1
24,3,159567,11,10,2,17,2,1,1,0,0,40,1,1
41,25,523910,1,13,2,26,2,4,1,0,0,40,1,1
47,3,120939,11,10,2,24,2,1,1,0,0,45,1,1
41,22,130760,1,13,2,24,2,1,1,0,0,24,1,1
23,3,197387,53,3,2,15,69,1,1,0,0,40,15,1
36,3,99374,11,10,3,26,1,1,1,0,0,40,1,1
40,22,56795,6,14,1,2,1,1,5,14084,0,55,1,8
35,3,138992,6,14,2,5,69,1,1,7298,0,40,1,8
24,2,32921,3,9,1,14,1,1,1,0,0,40,1,1
26,3,397317,6,14,1,5,1,1,5,0,1876,40,1,1
51,3,259323,1,13,2,2,2,1,1,0,0,50,1,8
42,25,254817,11,10,1,5,1,1,5,0,1340,40,1,1
37,1,48211,3,9,3,1,17,1,5,0,0,35,1,1
18,3,140164,4,7,1,14,13,1,5,0,0,40,1,1
36,3,128757,1,13,2,7,2,4,1,7298,0,36,1,8
35,3,36270,3,9,3,26,1,1,1,0,0,60,1,1
58,51,210563,3,9,2,14,5,1,5,15024,0,35,1,8
17,3,65368,4,7,1,14,13,1,5,0,0,12,1,1
44,25,160943,3,9,2,15,2,4,1,0,0,40,1,1
37,3,208358,3,9,2,26,2,1,1,0,0,40,1,8
35,3,153790,11,10,1,14,1,15,5,0,0,40,1,1
60,3,85815,3,9,2,26,2,12,1,0,0,40,1,1
54,51,125417,15,4,2,17,2,1,1,0,0,40,1,8
37,3,635913,1,13,1,2,1,4,1,0,0,60,1,8
50,3,313321,14,12,3,14,1,1,5,0,0,40,1,1
38,3,182609,1,13,2,14,2,1,1,0,0,50,203,1
45,3,109434,1,13,2,5,2,1,1,0,0,55,1,1
25,3,255004,205,6,1,26,1,1,1,0,0,40,1,1
31,3,197860,11,10,2,3,2,1,1,0,0,40,1,1
90,3,51744,3,9,1,7,1,4,1,0,2206,40,1,1
54,3,176681,3,9,2,1,2,4,1,0,0,20,1,1
53,25,140359,209,1,1,17,1,1,5,0,0,35,1,1
18,3,243313,3,9,1,14,13,1,5,0,0,40,1,1
66,2,167687,3,9,2,16,2,1,1,1409,0,50,1,1
75,3,314209,46,11,138,1,1,1,5,0,0,20,212,1
65,3,176796,3,9,3,1,1,1,5,0,0,40,1,1
35,3,538583,4,7,21,15,1,4,1,3674,0,40,1,1
41,3,130408,3,9,3,14,17,4,5,0,0,38,1,1
25,3,159732,11,10,1,1,1,1,1,0,0,42,1,1
33,3,110978,11,10,3,26,69,48,5,0,0,40,1,1
28,3,76714,49,15,1,5,1,1,1,0,0,55,1,8
59,1,268700,3,9,2,7,2,1,1,0,0,40,1,1
40,1,170525,11,10,1,1,1,1,5,0,0,38,1,1
41,3,180138,1,13,2,2,2,1,1,0,0,50,126,8
38,25,115076,6,14,2,2,2,1,1,0,0,70,1,8
23,3,115458,3,9,1,15,13,1,1,0,0,40,1,1
40,3,347890,1,13,2,5,2,1,1,0,0,40,1,8
41,2,196001,3,9,2,7,5,1,5,0,0,20,1,1
24,1,273905,14,12,2,29,2,1,1,0,0,50,1,1
38,3,179488,11,10,3,26,1,1,1,0,1741,40,1,1
58,3,236596,3,9,2,1,2,1,1,0,0,45,1,8
32,3,183916,3,9,1,7,1,1,5,0,0,34,1,1
40,3,207578,14,12,2,24,2,1,1,0,1977,60,1,8
41,3,112763,49,15,2,5,5,1,5,0,0,40,1,8
42,3,390781,1,13,2,1,5,4,5,0,0,40,1,1
59,25,171328,205,6,138,7,17,4,5,0,0,30,1,1
19,25,27382,11,10,1,1,13,1,1,0,0,40,1,1
58,3,259014,11,10,1,15,1,1,1,0,0,20,1,1
42,2,303044,3,9,2,16,2,12,1,0,0,40,236,8
20,3,117789,3,9,1,7,13,1,5,0,0,40,1,1
32,3,172579,3,9,21,7,1,1,5,0,0,30,1,1
45,3,187666,46,11,138,2,1,1,5,0,0,45,1,1
50,3,204518,15,4,3,26,1,1,1,0,0,40,1,1
36,3,150042,1,13,3,5,13,1,5,0,0,40,1,1
45,3,98092,3,9,2,14,2,1,1,0,0,60,1,1
17,3,245918,4,7,1,7,13,1,1,0,0,12,1,1
59,3,146013,11,10,2,14,2,1,1,4064,0,40,1,1
26,3,378322,4,7,2,26,2,1,1,0,0,40,1,1
37,51,257295,11,10,2,2,2,12,1,0,0,75,246,8
64,3,21174,3,9,2,2,2,1,1,0,0,40,1,8
33,3,185480,1,13,1,5,1,1,5,0,0,45,1,1
33,3,222205,3,9,2,26,5,1,5,0,0,40,1,8
61,3,69867,3,9,2,2,2,1,1,0,0,40,1,8
17,3,191260,7,5,1,7,13,1,1,1055,0,24,1,1
50,2,30653,6,14,2,16,2,1,1,2407,0,98,1,1
27,25,209109,6,14,1,5,13,1,1,0,0,35,1,1
30,3,70377,3,9,3,5,13,1,5,0,0,40,1,1
43,3,477983,3,9,2,3,2,4,1,0,0,40,1,1
44,3,170924,11,10,2,26,2,1,1,7298,0,40,1,8
35,3,190174,11,10,1,2,1,1,5,0,0,40,1,1
25,3,193787,11,10,1,24,13,1,5,0,0,40,1,1
24,3,279472,11,10,2,17,5,1,5,7298,0,48,1,8
22,3,34918,1,13,1,5,1,1,5,0,0,15,114,1
42,25,97688,11,10,2,26,2,1,1,5178,0,40,1,8
34,3,175413,14,12,3,14,17,4,5,0,0,45,1,1
60,3,173960,1,13,3,5,1,1,5,0,0,42,1,1
21,3,205759,3,9,1,3,13,1,1,0,0,40,1,1
57,22,425161,6,14,2,14,2,1,1,15024,0,40,1,8
41,3,220531,49,15,2,5,2,1,1,0,0,60,1,8
50,3,176609,11,10,3,7,1,1,1,0,0,45,1,1
25,3,371987,1,13,1,2,1,1,5,0,0,40,1,1
50,3,193884,15,4,2,26,2,1,1,0,0,40,269,1
36,3,200352,1,13,2,5,2,1,1,0,0,45,1,1
31,3,127595,3,9,3,5,1,1,5,0,0,40,1,1
29,25,220419,1,13,1,29,1,1,1,0,0,56,1,1
21,3,231931,11,10,1,14,13,1,1,0,0,45,1,1
27,3,248402,1,13,1,24,17,4,5,0,0,40,1,1
65,3,111095,3,9,2,15,2,1,1,0,0,16,1,1
37,51,57424,1,13,3,14,1,1,5,0,0,60,1,1
24,3,278130,3,9,1,26,13,1,1,0,0,40,1,1
38,3,169469,3,9,3,14,1,1,1,0,0,80,1,1
48,3,146268,1,13,2,1,2,1,1,7688,0,40,1,8
21,3,153718,11,10,1,7,1,12,5,0,0,25,1,1
31,3,217460,3,9,2,15,2,1,1,0,0,45,1,8
55,3,238638,3,9,2,14,2,1,1,4386,0,40,1,8
24,3,303296,11,10,2,1,5,12,5,0,0,40,283,1
43,3,173321,3,9,3,1,1,1,5,0,0,40,1,1
26,3,193945,14,12,1,24,1,1,1,0,0,45,1,1
46,3,83082,14,12,1,5,1,1,5,0,0,33,1,1
35,3,193815,14,12,2,1,2,1,1,0,0,40,1,8
41,51,34987,11,10,2,16,2,1,1,0,0,54,1,8
26,3,59306,1,13,1,14,1,1,1,0,0,40,1,1
34,3,142897,6,14,2,2,2,12,1,7298,0,35,290,8
36,2,205607,1,13,3,5,1,4,5,0,0,40,1,8
22,3,199698,11,10,1,14,13,1,1,0,0,15,1,1
24,3,191954,11,10,1,17,1,1,1,0,0,40,1,1
77,2,138714,11,10,2,14,2,1,1,0,0,40,1,1
22,3,399087,53,3,2,17,69,1,5,0,0,40,15,1
29,3,423158,11,10,1,24,1,1,5,0,0,40,1,1
62,3,159841,3,9,138,7,1,1,5,0,0,24,1,1
39,2,174308,3,9,2,2,2,1,1,0,0,40,1,1
43,3,50356,11,10,2,26,2,1,1,0,1485,50,1,1
35,3,186110,3,9,3,15,1,1,1,0,0,45,1,1
29,3,200381,4,7,1,2,1,1,5,0,0,40,1,1
76,2,174309,6,14,2,26,2,1,1,0,0,10,1,1
63,2,78383,3,9,2,16,2,1,1,0,0,45,1,1
43,3,187728,11,10,2,5,5,1,5,0,1887,50,1,8
58,2,321171,3,9,2,3,2,1,1,0,0,40,1,1
66,3,127921,3,9,1,15,1,1,1,2050,0,55,1,1
41,3,206565,11,10,1,26,1,4,1,0,0,45,1,1
26,3,224563,1,13,1,1,1,1,1,0,0,40,1,1
47,3,178686,46,11,1,7,1,1,1,0,0,40,1,1
55,25,98545,205,6,2,1,2,1,1,0,0,40,1,1
53,3,242606,3,9,2,15,2,1,1,0,0,40,1,1
17,3,270942,53,3,1,7,69,1,1,0,0,48,15,1
30,3,94235,3,9,1,26,69,1,1,0,0,40,1,1
49,3,71195,6,14,1,5,1,1,1,0,0,60,1,1
19,3,104112,3,9,1,14,17,4,1,0,0,30,315,1
45,3,261192,3,9,2,7,2,4,1,0,0,40,1,1
26,3,94936,14,12,1,14,1,1,1,0,0,40,1,1
38,3,296478,46,11,2,26,2,1,1,7298,0,40,1,8
36,1,119272,3,9,2,29,2,1,1,7298,0,40,1,8
33,3,85043,3,9,1,16,1,1,1,0,0,20,1,1
22,1,293364,11,10,1,29,13,4,5,0,0,40,1,1
43,2,241895,1,13,1,14,1,1,1,0,0,42,1,1
56,3,101128,14,12,7,7,1,1,1,0,0,25,126,1
31,3,156464,1,13,1,5,13,1,1,0,0,25,1,1
33,3,117963,1,13,2,2,2,1,1,0,0,40,1,8
26,3,192262,3,9,2,7,2,1,1,0,0,40,1,1
33,3,111363,1,13,2,2,2,1,1,0,0,40,1,8
46,25,329752,4,7,2,15,2,1,1,0,0,30,1,1
38,22,95432,3,9,2,1,2,1,1,0,0,40,1,8
65,3,161400,4,7,138,7,17,48,1,0,0,40,1,1
40,3,96129,46,11,2,24,2,1,1,0,0,40,1,8
42,3,111949,3,9,2,1,5,1,5,0,0,35,1,1
26,2,117125,7,5,2,26,2,1,1,0,0,40,333,1
36,3,348022,205,6,2,7,5,1,5,0,0,24,1,1
62,3,270092,6,14,2,5,2,1,1,0,0,40,1,8
43,3,180609,1,13,2,15,2,1,1,0,0,45,1,1
43,3,174575,1,13,3,2,1,1,1,0,1564,45,1,8
22,3,410439,3,9,7,14,1,1,1,0,0,55,1,1
28,3,92262,3,9,2,26,2,1,1,0,0,40,1,1
56,2,183081,11,10,2,14,2,1,1,0,0,45,1,1
22,3,362589,14,12,1,14,1,1,5,0,0,15,1,1
57,3,212448,1,13,3,2,1,1,5,0,0,45,1,8
39,3,481060,3,9,3,14,17,1,5,0,0,40,1,1
26,22,185885,11,10,1,1,17,1,5,0,0,15,1,1
17,3,89821,4,7,1,7,13,1,1,0,0,10,1,1
40,1,184018,46,11,2,17,2,1,1,0,0,38,1,8
45,3,256649,3,9,2,17,2,4,1,0,0,40,1,1
44,3,160323,3,9,1,26,1,4,1,0,0,40,1,1
20,25,350845,11,10,1,1,13,1,5,0,0,10,1,1
33,3,267404,3,9,2,26,5,1,5,0,0,40,1,1
23,3,35633,11,10,1,14,1,1,1,0,0,40,1,1
46,2,80914,6,14,3,2,1,1,1,0,0,30,1,1
38,3,172927,3,9,2,14,2,1,1,0,0,50,1,1
54,3,174319,3,9,3,15,1,1,1,0,0,40,1,1
46,3,214955,53,3,3,26,1,1,5,0,2339,45,1,1
25,3,344991,11,10,2,26,2,1,1,0,0,40,1,1
46,3,108699,11,10,3,14,1,1,5,0,0,40,1,1
36,25,117312,11,10,2,15,5,1,5,0,0,40,1,1
23,3,396099,3,9,1,7,1,1,5,0,0,25,1,1
29,3,134152,3,9,21,17,1,1,1,0,0,40,1,1
44,3,162028,11,10,2,1,5,1,5,0,2415,6,1,8
19,3,25429,11,10,1,1,13,1,5,0,0,16,1,1
19,3,232392,3,9,1,7,69,1,5,0,0,40,1,1
35,3,220098,3,9,2,7,5,1,5,0,0,40,1,8
27,3,301302,1,13,1,26,1,1,1,0,0,50,1,1
46,2,277946,14,12,21,26,1,1,1,0,0,40,1,1
34,3,196164,3,9,1,7,1,1,5,0,0,35,1,1
44,3,115562,11,10,2,24,2,1,1,0,0,40,1,1
45,3,96975,11,10,3,3,17,1,5,0,0,40,1,1
25,3,86872,1,13,2,2,2,1,1,0,0,55,1,8
52,51,132178,1,13,2,2,2,1,1,0,0,50,1,8
20,3,416103,11,10,1,3,13,1,1,0,0,40,1,1
28,3,108574,11,10,1,7,1,1,5,0,0,40,1,1
50,1,288353,1,13,2,29,2,1,1,0,0,40,1,8
34,3,227689,46,11,3,24,1,1,5,0,0,64,1,1
28,3,166481,15,4,2,3,2,48,1,0,2179,40,34,1
41,3,445382,6,14,2,2,2,1,1,0,1977,65,1,8
28,3,110145,3,9,2,1,2,1,1,0,0,40,1,1
46,2,317253,3,9,2,26,2,1,1,0,0,25,1,1
32,3,364657,11,10,2,2,2,1,1,0,0,50,1,1
41,25,42346,11,10,3,7,1,4,5,0,0,24,1,1
24,3,241951,3,9,1,3,17,4,5,0,0,40,1,1
33,3,118500,11,10,3,2,17,1,5,0,0,40,1,1
46,3,188386,20,16,2,2,2,1,1,15024,0,60,1,8
31,1,1033222,11,10,2,17,2,1,1,0,0,40,1,1
35,3,92440,386,8,3,26,1,1,1,0,0,50,1,8
52,3,190762,387,2,2,17,2,1,1,0,0,40,15,1
30,3,426017,4,7,1,7,13,1,5,0,0,19,1,1
34,25,243867,4,7,21,17,1,4,1,0,0,40,1,1
34,1,240283,3,9,3,15,17,1,5,0,0,40,1,1
20,3,61777,11,10,2,14,2,1,1,0,0,30,1,1
17,3,175024,4,7,1,3,13,1,1,2176,0,18,1,1
32,1,92003,1,13,2,2,5,1,5,0,0,40,1,8
29,3,188401,3,9,3,16,1,1,1,0,0,40,1,1
33,3,228528,205,6,1,26,17,1,5,0,0,35,1,1
25,3,133373,3,9,2,15,2,1,1,0,0,60,1,1
36,22,255191,6,14,1,5,1,1,1,0,1408,40,1,1
23,3,204653,3,9,1,3,1,1,1,0,0,72,398,1
63,51,222289,3,9,2,2,2,1,1,0,0,40,1,8
47,25,287480,6,14,2,5,2,1,1,0,0,40,1,1
40,2,204116,1,13,7,5,1,1,5,2174,0,40,1,1
30,3,29662,14,12,2,7,5,1,5,0,0,25,1,8
27,3,116358,11,10,1,26,13,12,1,0,1980,40,142,1
33,3,208405,6,14,2,5,2,1,1,0,0,50,1,8
34,25,284843,3,9,1,16,1,4,1,594,0,60,1,1
34,25,117018,11,10,1,29,1,1,5,0,0,40,1,1
23,3,81281,11,10,2,1,2,1,1,0,0,40,1,1
42,25,340148,11,10,2,1,5,1,5,0,0,40,1,1
29,3,363425,1,13,1,5,1,1,1,0,0,40,1,1
45,3,45857,3,9,3,1,1,1,5,0,0,28,1,1
24,22,191073,3,9,1,411,13,1,1,0,0,40,1,1
44,3,116632,11,10,2,5,2,1,1,0,0,40,1,8
27,3,405855,7,5,1,26,69,1,1,0,0,40,15,1
20,3,298227,11,10,1,14,1,1,1,0,0,35,1,1
44,3,290521,3,9,138,2,17,4,5,0,0,40,1,1
51,3,56915,3,9,2,26,2,15,1,0,0,40,1,1
20,3,146538,3,9,2,17,2,1,1,0,0,40,1,1
19,3,206399,3,9,1,17,13,4,5,0,0,40,1,1
45,51,197332,11,10,2,26,2,1,1,0,0,55,1,8
60,3,245062,3,9,2,26,2,1,1,0,0,40,1,8
44,2,234885,3,9,2,14,5,1,5,0,0,40,1,8
40,3,72887,46,11,2,17,2,12,1,0,0,40,1,8
30,3,180374,3,9,2,2,5,1,5,0,0,40,1,1
38,3,351299,11,10,2,15,2,4,1,0,0,50,1,1
23,3,54012,3,9,2,15,2,1,1,0,0,60,1,1
44,3,116632,14,12,1,16,13,1,1,0,0,40,1,1
54,25,288825,3,9,2,15,2,4,1,0,0,40,1,1
32,3,132601,1,13,2,5,2,1,1,0,0,50,1,1
50,3,193374,387,2,7,26,17,1,1,0,0,40,1,1
24,3,170070,1,13,1,24,1,1,5,0,0,20,1,1
37,3,126708,3,9,2,1,5,1,5,0,0,60,1,1
52,3,35598,3,9,3,15,17,1,1,0,0,40,1,1
38,3,33983,11,10,2,15,2,1,1,0,0,40,1,1
49,3,192776,6,14,2,2,2,1,1,0,1977,45,1,8
30,3,118551,1,13,2,24,5,1,5,0,0,16,1,8
60,3,201965,11,10,1,5,17,1,1,0,0,40,1,8
35,3,285020,3,9,1,26,1,1,1,0,0,40,1,1
30,3,303990,3,9,1,15,1,1,1,0,0,60,1,1
67,3,49401,46,11,3,7,1,1,5,0,0,24,1,1
46,3,279196,1,13,1,26,1,1,5,0,0,40,1,1
17,3,211870,7,5,1,7,1,1,1,0,0,6,1,1
22,3,281432,11,10,1,3,13,1,1,0,0,30,1,1
27,3,161155,205,6,1,7,1,1,1,0,0,40,1,1
23,3,197904,3,9,1,7,17,1,5,0,0,35,1,1
